Kingdom,Phylum,Class,Order,Family,Genus,Species,num_samples_pos,C-Lake-CTRL2,C-Lake-Samp2a,C-Lake-Samp2b,C-Lake-Samp2c,C-RN-CTRL3,C-RN-Samp3a,C-RN-Samp3b,C-RN-Samp3c,C-RS-S1-CTRL1,C-RS-S1-Samp1a,C-RS-S1-Samp1b,C-RS-S1-Samp1c,EB-LM,Neg-Chocorua,Ostrich-Chocorua,Pond-Joann-1-5,Pond-Joann-straight,C-XB-90min,Control-Below-Dam-90min,Control-Bridge-90min,Control-Dam-90min,Control-River-Delta-90min,Control-River-North-90min,HDAR-XB-3-90min,sample-1-Below-Dam-90min,sample-1-Bridge-90min,sample-1-Dam-90min,sample-1-River-Delta-90min,sample-1-River-North-90min,sample-2-Below-Dam-90min,sample-2-Bridge-90min,sample-2-Dam-90min,sample-2-River-Delta-90min,sample-2-River-North-90min,sample-3-Below-Dam-90min,sample-3-Bridge-90min,sample-3-Dam-90min,sample-3-River-Delta-90min,sample-3-River-North-90min,HDAR-XB-2-90min,HDAR-XB-1-90min,C-XB-overnight,Control-Below-Dam-overnight,Control-Bridge-overnight,Control-Dam-overnight,Control-River-Delta-overnight,Control-River-North-overnight,HDAR-XB-1-overnight,Neg-overnight,Ostrich-overnight,sample-1-Below-Dam-overnight,sample-1-Bridge-overnight,sample-1-Dam-overnight,sample-1-River-Delta-overnight,sample-1-River-North-overnight,sample-2-Below-Dam-overnight,sample-2-Bridge-overnight,sample-2-Dam-overnight,sample-2-River-Delta-overnight,sample-3-Below-Dam-overnight,sample-3-Bridge-overnight,sample-3-Dam-overnight,sample-3-River-Delta-overnight,sample-3-River-North-overnight
Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinoidei,Cyprinus,Cyprinus carpio haematopterus x Megalobrama amblycephala,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Carassius,NA,9,0,0,0,0,0,2,4,2,0,1,5,2,0,0,5,335968,295917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Chordata,Actinopteri,Euteleosteomorpha,Polynemidae,Polydactylus,Polydactylus sexfilis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10040,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Chordata,Actinopteri,Esociformes,Esocidae,Esox,NA,6,0,0,0,0,0,245546,38202,0,0,0,316506,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6459,0,0,0,0,0,0,0,0,0,0,2051,0,0,0,0,0,0,0,0,0,0
Eukaryota,Chordata,Actinopteri,Esociformes,Esocidae,Esox,Esox niger,2,0,0,0,0,0,40,0,0,0,0,1051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Chordata,Actinopteri,Anabantiformes,Channidae,Channa,Channa limbata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Carassius,Carassius gibelio,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44204,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Chordata,Actinopteri,Siluriformes,Ictaluridae,Ameiurus,Ameiurus nebulosus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salvelinus,Salvelinus fontinalis,4,0,0,0,0,0,168941,156292,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Chordata,Actinopteri,Centrarchiformes,Centrarchidae,Lepomis,Lepomis gibbosus,1,0,0,0,0,0,0,0,0,0,0,0,508623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
