Kingdom,Phylum,Class,Order,Family,Genus,Species
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Carassius,Carassius gibelio
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Catostomidae,Catostomus,Catostomus commersonii
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinoidei,Cyprinus,Cyprinus carpio haematopterus x Megalobrama amblycephala
d__Eukaryota,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus heteroclitus
d__Eukaryota,Chordata,Actinopteri,Centrarchiformes,Centrarchidae,Lepomis,Lepomis gibbosus
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Catostomidae,Catostomus,Catostomus commersonii
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Catostomidae,Catostomus,Catostomus commersonii
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Carassius,NA
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Carassius,Carassius gibelio
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Catostomidae,Catostomus,Catostomus commersonii
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Carassius,Carassius gibelio
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Carassius,Carassius gibelio
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Catostomidae,Catostomus,Catostomus commersonii
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Catostomidae,Catostomus,Catostomus commersonii
d__Eukaryota,Chordata,Actinopteri,Anabantiformes,Channidae,Channa,Channa limbata
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Catostomidae,Catostomus,Catostomus commersonii
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Carassius,Carassius gibelio
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Carassius,Carassius gibelio
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Carassius,Carassius gibelio
d__Eukaryota,Chordata,Actinopteri,Siluriformes,Ictaluridae,Ameiurus,Ameiurus nebulosus
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Catostomidae,Catostomus,Catostomus commersonii
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Catostomidae,Catostomus,Catostomus commersonii
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinoidei,Cyprinus,Cyprinus carpio haematopterus x Megalobrama amblycephala
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Carassius,Carassius gibelio
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Catostomidae,Catostomus,Catostomus commersonii
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Catostomidae,Catostomus,Catostomus commersonii
d__Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salvelinus,Salvelinus fontinalis
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Catostomidae,Catostomus,Catostomus commersonii
d__Eukaryota,Chordata,Actinopteri,Euteleosteomorpha,Sciaenidae,Sciaenops,Sciaenops ocellatus
d__Eukaryota,Chordata,Actinopteri,Centrarchiformes,Centrarchidae,Micropterus,NA
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Carassius,Carassius gibelio
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Carassius,Carassius gibelio
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Carassius,Carassius gibelio
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Catostomidae,Catostomus,Catostomus commersonii
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Carassius,Carassius gibelio
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Carassius,Carassius gibelio
d__Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salvelinus,Salvelinus fontinalis
d__Eukaryota,Chordata,Actinopteri,Mugiliformes,Mugilidae,Mugil,Mugil cephalus
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Carassius,Carassius gibelio
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Leuciscidae,Notemigonus,Notemigonus crysoleucas
d__Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salvelinus,Salvelinus fontinalis
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Leuciscidae,Notemigonus,Notemigonus crysoleucas
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Carassius,Carassius gibelio
d__Eukaryota,Chordata,Actinopteri,Cypriniformes,Catostomidae,Thoburnia,Thoburnia atripinnis
d__Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salvelinus,Salvelinus fontinalis
d__Eukaryota,Chordata,Actinopteri,Characiformes,Crenuchidae,Ammocryptocharax,Ammocryptocharax elegans
d__Eukaryota,Chordata,Actinopteri,Euteleosteomorpha,Sciaenidae,Sciaenops,Sciaenops ocellatus
