sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
C-Lake-CTRL2	14060	1133	8.06	1132	1132	8.05	1132	8.05
C-Lake-Samp2a	818607	809457	98.88	808995	425609	51.99	424551	51.86
C-Lake-Samp2b	156979	139134	88.63	139008	4	0	4	0
C-Lake-Samp2c	623361	617827	99.11	617264	8412	1.35	8372	1.34
C-RN-CTRL3	15590	15190	97.43	15190	15190	97.43	15190	97.43
C-RN-Samp3a	775239	760420	98.09	759976	723346	93.31	694134	89.54
C-RN-Samp3b	770679	760602	98.69	759375	484726	62.9	479041	62.16
C-RN-Samp3c	790807	771820	97.6	769889	275164	34.8	273276	34.56
C-RS-S1-CTRL1	427320	400001	93.61	399862	399816	93.56	371161	86.86
C-RS-S1-Samp1a	977966	966254	98.8	965699	522427	53.42	520347	53.21
C-RS-S1-Samp1b	591703	586398	99.1	586136	317961	53.74	317569	53.67
C-RS-S1-Samp1c	698374	689272	98.7	689124	561021	80.33	559309	80.09
EB-LM	38	2	5.26	2	2	5.26	2	5.26
Neg-Chocorua	11281	34	0.3	33	23	0.2	23	0.2
Ostrich-Chocorua	771030	756624	98.13	756610	748885	97.13	746215	96.78
Pond-Joann-1-5	564967	557313	98.65	557143	384648	68.08	384607	68.08
Pond-Joann-straight	730868	721168	98.67	720661	472532	64.65	438731	60.03
C-XB-90min	4	2	50	1	0	0	0	0
Control-Below-Dam-90min	7881	6798	86.26	6790	6441	81.73	6349	80.56
Control-Bridge-90min	15360	13429	87.43	13429	13429	87.43	13347	86.89
Control-Dam-90min	122	116	95.08	110	110	90.16	110	90.16
Control-River-Delta-90min	21076	19881	94.33	19881	19591	92.95	19548	92.75
Control-River-North-90min	24183	23832	98.55	23831	23828	98.53	23477	97.08
HDAR-XB-1-90min	20	0	0	0	0	0	0	0
HDAR-XB-2-90min	3	0	0	0	0	0	0	0
HDAR-XB-3-90min	34487	34008	98.61	33999	33987	98.55	33790	97.98
sample-1-Below-Dam-90min	23901	23501	98.33	23394	3531	14.77	3527	14.76
sample-1-Bridge-90min	26986	26578	98.49	26534	17558	65.06	17439	64.62
sample-1-Dam-90min	13706	13359	97.47	13322	5221	38.09	5221	38.09
sample-1-River-Delta-90min	44327	43559	98.27	43333	19538	44.08	19464	43.91
sample-1-River-North-90min	53008	47454	89.52	47354	7146	13.48	7146	13.48
sample-2-Below-Dam-90min	15577	15189	97.51	15121	99	0.64	61	0.39
sample-2-Bridge-90min	15057	14918	99.08	14851	4939	32.8	4914	32.64
sample-2-Dam-90min	23909	23588	98.66	23525	14185	59.33	13890	58.1
sample-2-River-Delta-90min	51634	49721	96.3	49490	26793	51.89	25993	50.34
sample-2-River-North-90min	63211	61337	97.04	61035	22997	36.38	22874	36.19
sample-3-Below-Dam-90min	34876	34425	98.71	34369	6117	17.54	6117	17.54
sample-3-Bridge-90min	16603	16336	98.39	16296	9078	54.68	8986	54.12
sample-3-Dam-90min	42683	30191	70.73	30148	21493	50.35	21472	50.31
sample-3-River-Delta-90min	71156	70395	98.93	70132	34475	48.45	34280	48.18
sample-3-River-North-90min	59462	58645	98.63	58207	9048	15.22	9048	15.22
C-XB-overnight	1	1	100	1	0	0	0	0
Control-Below-Dam-overnight	23524	23182	98.55	23105	13850	58.88	13786	58.6
Control-Bridge-overnight	23864	23587	98.84	23507	3060	12.82	3060	12.82
Control-Dam-overnight	403	397	98.51	385	0	0	0	0
Control-River-Delta-overnight	20203	19791	97.96	19753	12396	61.36	12345	61.1
Control-River-North-overnight	38417	37905	98.67	37879	30315	78.91	30199	78.61
HDAR-XB-1-overnight	1	1	100	1	0	0	0	0
Neg-overnight	26578	26252	98.77	26133	11791	44.36	11791	44.36
Ostrich-overnight	41263	30990	75.1	30931	28196	68.33	28063	68.01
sample-1-Below-Dam-overnight	48657	48086	98.83	48021	29834	61.31	29777	61.2
sample-1-Bridge-overnight	41234	36780	89.2	36628	13700	33.23	13700	33.23
sample-1-Dam-overnight	11932	11347	95.1	11243	0	0	0	0
sample-1-River-Delta-overnight	12177	12058	99.02	11896	7321	60.12	7117	58.45
sample-1-River-North-overnight	50273	49547	98.56	49427	34154	67.94	33871	67.37
sample-2-Below-Dam-overnight	74256	73582	99.09	73456	3772	5.08	3772	5.08
sample-2-Bridge-overnight	12239	11952	97.66	11848	3506	28.65	3493	28.54
sample-2-Dam-overnight	10435	9314	89.26	9270	1739	16.67	1739	16.67
sample-2-River-Delta-overnight	29338	28931	98.61	28734	14401	49.09	14120	48.13
sample-3-Below-Dam-overnight	9107	8666	95.16	8573	0	0	0	0
sample-3-Bridge-overnight	5250	5190	98.86	5169	742	14.13	742	14.13
sample-3-Dam-overnight	52498	51732	98.54	51609	14	0.03	14	0.03
sample-3-River-Delta-overnight	60567	57631	95.15	57501	41993	69.33	41678	68.81
sample-3-River-North-overnight	55134	54237	98.37	54156	39889	72.35	39682	71.97
